TITLE,candidate_name,direct_langs_found_count,direct_langs_found,all_wiki_langs_count,all_wiki_langs,timestamp_utc,exists_en,title_en,exists_it,title_it,exists_de,title_de,exists_fr,title_fr,exists_nl,title_nl,exists_es,title_es
Portrait of Dr. Johannes Cuspinian (detail),Portrait of,0,,0,,2025-08-28T10:16:34Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dr. Johannes Cuspinian (detail),Johannes Cuspinian,3,"en,it,de",9,"arz,cs,de,en,fr,it,la,ru,sl",2025-08-28T10:16:39Z,TRUE,Johannes Cuspinian,TRUE,Johannes Cuspinian,TRUE,Johannes Cuspinian,FALSE,,FALSE,,FALSE,
Portrait of Anna Cuspinian,Anna Cuspinian,0,,0,,2025-08-28T10:16:46Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Anna Cuspinian,Portrait of Anna Cuspinian,0,,0,,2025-08-28T10:16:52Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father,Dürer's Father,0,,0,,2025-08-28T10:16:59Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father,Portrait of Dürer's Father,0,,0,,2025-08-28T10:17:06Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Simon George,Simon George,0,,0,,2025-08-28T10:17:13Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Simon George,Portrait of Simon George,0,,0,,2025-08-28T10:17:20Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Young Man with Cap and Gloves,Young Man,1,en,1,en,2025-08-28T10:17:26Z,TRUE,Young Man,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Fürleger with Loose Hair,A Young Fürleger With Loose Hair,0,,0,,2025-08-28T10:17:33Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Fürleger with Loose Hair,Portrait of,0,,0,,2025-08-28T10:17:40Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Fürleger with Loose Hair,Young Fürleger,0,,0,,2025-08-28T10:17:47Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Fürleger with Loose Hair,Loose Hair,0,,0,,2025-08-28T10:17:53Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Man with a Felt Hat,A Man With A Felt Hat,0,,0,,2025-08-28T10:18:00Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Man with a Felt Hat,Portrait of,0,,0,,2025-08-28T10:18:06Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Man with a Felt Hat,Felt Hat,0,,0,,2025-08-28T10:18:13Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Henry VIII,Henry VIII,6,"en,it,de,fr,nl,es",107,"af,an,ang,ar,arz,ast,az,azb,bcl,be,be-tarask,bg,bn,br,bs,ca,ckb,cs,cv,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,he,hi,hr,hu,hy,ia,id,ie,io,is,it,ja,jv,ka,kbp,km,ko,ks,ku,kw,la,lb,lfn,lo,lt,lv,mg,mk,ml,mr,ms,mt,mwl,mzn,nan,nb,nl,nn,oc,pa,pl,pms,ps,pt,ro,ru,sa,scn,sco,sh,simple,sk,sl,sq,sr,sv,sw,ta,th,tl,tr,uk,ur,uz,vi,vls,war,wuu,xmf,yi,yue,zh",2025-08-28T10:18:17Z,TRUE,Henry VIII,TRUE,Enrico VIII,TRUE,Henry VIII,TRUE,Henry VIII,TRUE,Henry VIII,TRUE,Enrique VIII de Inglaterra
Portrait of Tommaso Inghirami,Tommaso Inghirami,4,"en,it,fr,es",6,"arz,en,es,fr,it,tr",2025-08-28T10:18:22Z,TRUE,Tommaso Inghirami,TRUE,Tommaso Inghirami,FALSE,,TRUE,Tommaso Inghirami,FALSE,,TRUE,Tommaso Inghirami
Portrait of Tommaso Inghirami,Portrait of Tommaso Inghirami,1,en,8,"arz,az,en,es,fr,it,mk,pl",2025-08-28T10:18:29Z,TRUE,Portrait of Tommaso Inghirami,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Lady,A Lady,1,en,1,en,2025-08-28T10:18:35Z,TRUE,A Lady,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Lady,Portrait of,0,,0,,2025-08-28T10:18:42Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman (Laura),A Young Woman,0,,0,,2025-08-28T10:18:48Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman (Laura),Portrait of,0,,0,,2025-08-28T10:18:55Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman (Laura),Young Woman,1,en,208,"af,am,an,ang,anp,ar,arc,ary,arz,as,ast,atj,awa,ay,az,azb,ba,bar,bcl,be,be-tarask,bew,bg,bh,bjn,bn,bo,br,bs,btm,bxr,ca,cdo,ce,ceb,cho,chr,ckb,co,cs,cu,cv,cy,da,de,diq,dsb,dty,el,en,eo,es,et,eu,ext,fa,fi,fj,fo,fon,fr,frp,fur,fy,ga,gan,gcr,gd,gl,gn,gsw,gu,guc,ha,hak,he,hi,hif,hr,hsb,ht,hu,hy,ia,iba,id,ie,ilo,inh,io,is,it,ja,jam,jbo,jv,ka,kcg,kge,kk,kn,knc,ko,krc,ks,ksh,ku,kv,kw,la,lb,lfn,li,lij,lmo,ln,lt,ltg,lv,lzh,mad,mai,map-bms,mg,mhr,min,mk,ml,mn,mr,ms,mt,my,myv,nan,nb,nds,nds-nl,ne,new,nl,nn,nrm,oc,pa,pcd,pcm,pdc,pl,pms,pnb,ps,pt,qu,rn,ro,ru,rue,rup,sah,sat,sc,scn,sco,sd,sgs,sh,si,simple,sk,skr,sl,sn,so,sq,sr,sv,sw,szy,ta,tay,te,tg,th,tk,tl,tn,tr,ts,tt,tyv,uk,ur,uz,vep,vi,vls,vro,wa,war,wo,wuu,xmf,yi,yo,yue,za,zh",2025-08-28T10:19:02Z,TRUE,Woman,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Martin Luther as an Augustinian Monk in a Doctoral Hat,Martin Luther,6,"en,it,de,fr,nl,es",192,"af,am,an,ang,anp,ar,ary,arz,as,ast,av,awa,az,azb,ba,bar,bcl,be,be-tarask,bew,bg,bh,bi,bn,br,bs,btm,bxr,ca,ce,ckb,cs,csb,cu,cy,da,de,diq,dty,el,eml,en,eo,es,et,eu,ext,fa,fi,fj,fo,fr,frp,frr,fy,ga,gan,gcr,gd,gl,gn,gom,got,gsw,gv,hak,he,hi,hif,hr,hsb,ht,hu,hy,hyw,ia,iba,id,ie,ilo,io,is,it,ja,jv,ka,kbp,kk,kn,knc,ko,ku,kw,ky,la,lad,lb,lez,lfn,li,lij,lld,lmo,ln,lt,lv,lzh,mad,mai,mg,min,mk,ml,mn,mr,mrj,ms,mt,my,myv,mzn,nan,nap,nb,nds,nds-nl,ne,new,nia,nl,nn,nrm,oc,pa,pcd,pl,pms,pnb,ps,pt,qu,rm,ro,ru,rue,rup,sa,sah,sat,sc,scn,sco,sgs,sh,simple,sk,sl,sm,sq,sr,stq,sv,sw,szl,szy,ta,te,th,tk,tl,tpi,tr,tt,ty,uk,ur,uz,vec,vep,vi,vo,vro,wa,war,wuu,xmf,yi,yo,yue,zea,zh,zu",2025-08-28T10:19:06Z,TRUE,Martin Luther,TRUE,Martin Lutero,TRUE,Martin Luther,TRUE,Martin Luther,TRUE,Martin Luther,TRUE,Martín Lutero
Martin Luther as an Augustinian Monk in a Doctoral Hat,Augustinian Monk,1,en,41,"ar,arz,az,bg,cs,cy,de,en,eo,et,fa,fi,fr,fy,he,hu,id,is,it,ka,ko,lt,lv,ms,nb,nl,pl,pt,ru,sh,simple,sk,sl,sr,sv,sw,th,uk,uz,vi,zh",2025-08-28T10:19:13Z,TRUE,Augustinians,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Martin Luther as Junker Jörg,Martin Luther As Junker Jörg,0,,0,,2025-08-28T10:19:20Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Martin Luther as Junker Jörg,Portrait of Martin Luther,0,,0,,2025-08-28T10:19:27Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Martin Luther as Junker Jörg,Junker Jörg,2,"en,de",192,"af,am,an,ang,anp,ar,ary,arz,as,ast,av,awa,az,azb,ba,bar,bcl,be,be-tarask,bew,bg,bh,bi,bn,br,bs,btm,bxr,ca,ce,ckb,cs,csb,cu,cy,da,de,diq,dty,el,eml,en,eo,es,et,eu,ext,fa,fi,fj,fo,fr,frp,frr,fy,ga,gan,gcr,gd,gl,gn,gom,got,gsw,gv,hak,he,hi,hif,hr,hsb,ht,hu,hy,hyw,ia,iba,id,ie,ilo,io,is,it,ja,jv,ka,kbp,kk,kn,knc,ko,ku,kw,ky,la,lad,lb,lez,lfn,li,lij,lld,lmo,ln,lt,lv,lzh,mad,mai,mg,min,mk,ml,mn,mr,mrj,ms,mt,my,myv,mzn,nan,nap,nb,nds,nds-nl,ne,new,nia,nl,nn,nrm,oc,pa,pcd,pl,pms,pnb,ps,pt,qu,rm,ro,ru,rue,rup,sa,sah,sat,sc,scn,sco,sgs,sh,simple,sk,sl,sm,sq,sr,stq,sv,sw,szl,szy,ta,te,th,tk,tl,tpi,tr,tt,ty,uk,ur,uz,vec,vep,vi,vo,vro,wa,war,wuu,xmf,yi,yo,yue,zea,zh,zu",2025-08-28T10:19:33Z,TRUE,Martin Luther,FALSE,,TRUE,Martin Luther,FALSE,,FALSE,,FALSE,
Boy Peeling a Fruit,Boy Peeling,0,,0,,2025-08-28T10:19:40Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Pope Paul III,Pope Paul III,1,en,83,"af,ar,arz,az,bcl,be,be-tarask,bg,br,ca,cdo,cs,cy,da,de,diq,el,en,eo,es,et,eu,fa,fi,fr,fur,ga,gd,gl,gsw,hak,he,hr,hu,id,ilo,io,it,ja,jv,ka,ko,ku,la,lt,lv,lzh,mg,mk,mr,ms,nan,nb,nds,nl,pl,pt,qu,ro,ru,scn,sco,sh,simple,sk,sl,sq,sr,sv,sw,ta,th,tl,tr,uk,ur,vec,vi,war,wuu,yo,yue,zh",2025-08-28T10:19:47Z,TRUE,Pope Paul III,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
