Condition,headYaw,headPitch,gazeYaw,gazePitch,rand,ID,Confidence2
Post_Renaissance,-4.010704566,7.906817573,3.609634109,13.23532507,0.808538406,11,1
Post_Renaissance,-19.0221988,9.052733163,12.83425461,14.66771956,0.499322664,12,1
Post_Renaissance,-9.39650784,29.85110113,3.380450991,30.53865048,0.304586911,13,1
Post_Renaissance,15.98552248,19.70974815,-8.479775368,21.31402998,0.250882757,14,1
Post_Renaissance,-2.635605858,24.23611473,5.500394833,29.96569269,0.26051278,15,1
Post_Renaissance,-14.03746598,8.651662706,17.64710009,15.18338157,0.501954992,16,1
Post_Renaissance,11.63104324,17.64710009,-14.553128,24.12152318,0.924341808,17,1
Post_Renaissance,21.2567342,11.11538123,-19.13679036,15.75633937,0.453232224,18,1
Post_Renaissance,8.651662706,31.34079139,-6.073352628,29.56462223,0.152146806,19,1
Post_Renaissance,31.97104497,19.0221988,-20.6837764,26.06957968,0.308381639,20,1
Religion,-21.42862154,39.93515832,17.70439587,38.50276383,0.120240961,1,1
Religion,19.53786081,-15.46986047,-16.61577606,-4.010704566,0.645809804,2,1
Religion,-0.114591559,8.938141604,7.161972439,6.875493542,0.109250245,3,1
Religion,4.068000345,48.9305957,-3.838817227,48.01386323,0.742832354,4,1
Religion,-5.729577951,36.09634109,4.927437038,37.7579187,0.983294073,5,1
Religion,59.24383602,19.65245237,-41.65403171,18.96490302,0.33983782,6,1
Religion,-24.80907253,24.80907253,28.30411508,30.53865048,0.00748678,7,1
Religion,-3.953408786,29.56462223,4.469070802,32.7158901,0.503651248,8,1
Religion,-2.291831181,28.07493196,3.265859432,30.65324204,0.974419664,9,1
Religion,-19.19408614,23.60586116,16.44388872,29.10625599,0.782969327,10,1
Religion,-22.63183291,23.89234006,17.47521275,23.94963584,0.97981859,11,1
Religion,15.64174781,37.64332714,-10.71431077,34.72124238,0.539418722,12,1
Religion,-6.875493542,35.17960862,6.245239967,35.86715798,0.55090706,13,1
Religion,8.995437384,44.34693334,-5.729577951,42.05510216,0.037033121,14,1
