"","confidence","headYaw","headPitch","gazeYaw","gazePitch","filename","ACNo.","画題等","画題２","役名.代.役者","版元文字","版元1","判種","続方向","落款印章","絵師","改印等","西暦","和暦","地域","劇場","外題","外題よみ","所作題","所作題よみ","主外題","系統分類題","所蔵","画中文字","homeURL","SmallImageURL","LargeImageURL","year"
"101",0.025,11.2299727845641,39.3622005254876,-7.27656399816146,32.9450732200223,"arcUP4444(F)","arcUP4444(F)","","","","","","","横","楊洲","周延","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4444(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4444(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4444(F).jpg",NA
"102",0.875,-18.3346494441863,38.9038342893829,16.9595507358724,38.9038342893829,"arcUP4461","arcUP4461","「こしもと千鳥　岩井半四郎」","","","山長","","大判/錦絵","横","豊国画","豊国〈1〉","極、西宮",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4461","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4461.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4461.jpg",NA
"103",0.875,24.4652978520862,-2.80749319614103,-18.4492410032125,0.859436692696235,"arcUP4565(F)","arcUP4565(F)","","","","","","","横","芳虎画","芳虎","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4565(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4565(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4565(F).jpg",NA
"104",0.775,-24.0069316159815,46.2949898465705,26.0695796784525,45.3209615948481,"arcUP4574","arcUP4574","「忠臣義士銘々伝」","「よ」「形岳現五右衛門源高房」","","若林堂","","中判/錦絵","横","芳虎画","芳虎","子五改",NA,"","","","","","","","","武者絵、忠臣蔵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4574","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4574.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4574.jpg",NA
"105",0.775,-24.2361147340338,18.4492410032125,18.8503114598041,12.0894094772604,"arcUP4576(F)","arcUP4576(F)","","","","","","","横","芳虎画","芳虎","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4576(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4576(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4576(F).jpg",NA
"106",0.875,21.8869877739975,40.5654118952623,-24.5798894111123,37.2422566835035,"arcUP4591","arcUP4591","「忠臣義士銘々伝」","「ふ」「府和員右衛門平重種」","","若与版","","中判/錦絵","横","芳虎画","芳虎","子五改",NA,"","","","","","","","","武者絵、忠臣蔵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4591","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4591.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4591.jpg",NA
"107",0.875,25.6685092218609,13.3499166265482,-19.1367903573695,11.5164516821295,"arcUP4606","arcUP4606","「忠臣義士銘々伝」","「す」「寺岡平右衛門藤原信行」","","若与版","","中判/錦絵","横","芳虎画","芳虎","子五改",NA,"","","","","","","","","武者絵、忠臣蔵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4606","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4606.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4606.jpg",NA
"108",0.825,38.1016933761997,40.9664823518539,-34.0336930307709,39.2476089664614,"arcUP4638","arcUP4638","「四郎次郞元信　尾上菊五郎」「けいせひ遠山　藤川友吉」","「大当り」「四枚つゞき」「壱」","四郎次郞元信〈3〉尾上　菊五郎、けいせひ遠山〈2〉藤川　友吉","天喜","天満屋　喜兵衛","縮緬絵/錦絵","横","御好二付　重春画","重春","－",1830,"天保０１","大坂","中","今川本領猫魔館","いまがわほんりょうねこまたやかた","","","今川本領猫魔館","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4638","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4638.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4638.jpg",1830
"109",0.775,4.5263665815335,14.0947617602183,-7.10467665962221,15.1260857914537,"arcUP4881","arcUP4881","「太平記英勇伝」","「七十五」「片桐東市正且元」","","広幸","広岡屋　幸助","中判/錦絵","横","一恵斎芳幾筆","芳幾","卯正改",NA,"","","","","","","","","武者絵","立命館ARC","「近江国の産　豊公☆（研の旁）原より扈従し智略尋常ならず　忠義無双の良将たり　勇に於ては江北に秋坂を捕え賤ヶ嶽には豊島安彦長井の三将を討其他軍功枚挙がたし　豊公他界の後幼主を守護し屡々肺簡を砕といへども讒者為に計儀空敷竟に勘気を得て茨木に蟄居せり　山仝亭有人記」","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4881","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4881.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4881.jpg",NA
"110",0.875,14.4958322168098,11.2872685640772,-14.0947617602183,18.5065367827256,"arcUP4917","arcUP4917","「時代かゞみ」","「寛永之頃」「元旦登城」","","臨写印刷兼発行者　日本橋区吉川町二番地　松木平吉","松木　平吉","大判/錦絵","横","楊洲周延(楊洲玉印）","周延","明治二十九年十二月十日印刷、同年同月廿日発行",NA,"","","","","","","","","美人画、風俗画","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4917","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4917.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4917.jpg",NA
"111",0.875,16.673071838307,32.6585943224569,-18.1627621056471,33.2315521175877,"arcUP4917","arcUP4917","「時代かゞみ」","「寛永之頃」「元旦登城」","","臨写印刷兼発行者　日本橋区吉川町二番地　松木平吉","松木　平吉","大判/錦絵","横","楊洲周延(楊洲玉印）","周延","明治二十九年十二月十日印刷、同年同月廿日発行",NA,"","","","","","","","","美人画、風俗画","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4917","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4917.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4917.jpg",NA
"112",0.875,23.5485653798768,2.29183118052329,-28.8770728745935,7.62033867523995,"arcUP4917","arcUP4917","「時代かゞみ」","「寛永之頃」「元旦登城」","","臨写印刷兼発行者　日本橋区吉川町二番地　松木平吉","松木　平吉","大判/錦絵","横","楊洲周延(楊洲玉印）","周延","明治二十九年十二月十日印刷、同年同月廿日発行",NA,"","","","","","","","","美人画、風俗画","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4917","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4917.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4917.jpg",NA
"113",0.975,-52.6548213725227,-15.8709309251238,34.8358339439541,-1.60428182636631,"arcUP4951(P)","arcUP4951(P)","","","","","","大判/錦絵","横","楊洲周延(楊洲玉印）","周延","",NA,"","","","","","","","","美人画","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4951(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4951(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4951(P).jpg",NA
"114",0.875,-23.2620864823114,3.32315521175878,26.0122838989394,11.6310432411557,"arcUP4958(P)","arcUP4958(P)","","","","","","大判/錦絵","横","楊洲周延(楊洲玉印）","周延","",NA,"","","","","","","","","美人画","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4958(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4958(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4958(P).jpg",NA
"115",0.675,23.4912696003638,37.8725102581474,-29.2781433311851,37.8725102581474,"arcUP5094(P)","arcUP5094(P)","","","","","","大判/錦絵","横","芳年画","芳年","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5094(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5094(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5094(P).jpg",NA
"116",0.875,-38.7892427303567,-1.83346494441863,29.5646222287505,12.8342546109304,"arcUP5188(P)","arcUP5188(P)","","","","","","大判/錦絵","横","楊洲周延","周延","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5188(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5188(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5188(P).jpg",NA
"117",0.875,-55.8060892457422,-7.84952179329228,37.1849609039904,12.8915503904435,"arcUP5215(P)","arcUP5215(P)","","","","","","大判/錦絵","横","楊洲周延","周延","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5215(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5215(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5215(P).jpg",NA
"118",0.875,-33.6326225741793,-6.01605684887364,25.3247345447824,-10.1413529738156,"arcUP5215(P)","arcUP5215(P)","","","","","","大判/錦絵","横","楊洲周延","周延","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5215(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5215(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5215(P).jpg",NA
"119",0.875,-22.6891286871806,14.2093533192444,23.4912696003638,20.5691848451966,"arcUP5227(P)","arcUP5227(P)","","","","","","大判/錦絵","横","楊洲周延","周延","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5227(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5227(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5227(P).jpg",NA
"120",0.875,-42.2842852806548,-8.47977536793618,34.4347634873625,2.06264806247096,"arcUP5244","arcUP5244","「東錦浮世稿談」","「神田伯龍」「朝倉当五郎」","","錦盛堂","","大判/錦絵","横","一魁斎芳年筆(芳桐印)","芳年","卯十改",NA,"","","","","","","","","武者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5244","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5244.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5244.jpg",NA
"121",0.975,66.5204000146886,62.624287007799,-55.4050187891506,42.7426515167594,"arcUP5330","arcUP5330","「竹本弥太夫」「坂東三津五郎　黒ぬし」","","","沢田板","","中判/錦絵","横","芳峰","芳峰","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5330","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5330.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5330.jpg",NA
"122",0.725,-30.2521715829075,22.0588751125367,23.1474949232853,22.288058230589,"arcUP5330","arcUP5330","「竹本弥太夫」「坂東三津五郎　黒ぬし」","","","沢田板","","中判/錦絵","横","芳峰","芳峰","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5330","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5330.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5330.jpg",NA
"123",0.725,-43.3729050914033,7.96411335231844,35.9244537547026,12.3758883748258,"arcUP5383","arcUP5383","「渡辺綱　中村福助」","","","松木平吉","","大判/錦絵","横","－","国周","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5383","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5383.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5383.jpg",NA
"124",0.875,-28.9916644336197,-21.0275510813012,16.9022549563593,-6.18794418741289,"arcUP5552","arcUP5552","「瀬川菊之丞」","","","蔦屋吉蔵板","","大判/錦絵","横","香蝶楼国貞画","国貞〈1〉","極",NA,"","","","","","","","","役者絵、大首絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP5552","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP5552.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5552.jpg",NA
